URL,Phase,Content,Launch_Date
http://science.nasa.gov/missions/cloudsat/,"
	            
   				
					 
	            		April 28, 2006
					
					
				
	        ",<p><strong>Phase:</strong> Operating	</p>,
http://science.nasa.gov/missions/,,,
http://science.nasa.gov/missions/chips/, Past	,<p>Cosmic Hot Interstellar Plasma Spectrometer </p>,"
	            
   				
					 
	            		January 12, 2003
					
					
				
	        "
http://science.nasa.gov/missions/moon-mineralogy-mapper/, Past	,<p>Chandrayaan-1</p>,"
	            
   				
					 
	            		October 22, 2008
					
					
				
	        "
http://science.nasa.gov/missions/clarreo/,,<p><strong>Phase:</strong> Under Study	</p>,
http://science.nasa.gov/missions/cindi/, Operating	,<p>Coupled Ion-Neutral Dynamics Investigations </p>,"
	            
   				
					 
	            		April 16, 2008
					
					
				
	        "
http://science.nasa.gov/missions/chandra/, Operating	,<p>Chandra X-Ray Observatory</p>,"
	            
   				
					 
	            		July 23, 1999
					
					
				
	        "
http://science.nasa.gov/missions/clementine/,"
	            
   				
					 
	            		January 25, 1994
					
					
				
	        ",<p><strong>Phase:</strong> Past	</p>,
http://science.nasa.gov/missions/champ/, Past	,<p>Challenging Mini-Satellite Payload for Geo-scientific Research and Applications program</p>,"
	            
   				
					 
	            		July 15, 2000
					
					
				
	        "
http://science.nasa.gov/missions/cgro/, Past	,<p>Compton Gamma Ray Observatory</p>,"
	            
   				
					 
	            		April 05, 1991
					
					
				
	        "
http://science.nasa.gov/missions/carve/, Operating	,<p>Carbon in Arctic Reservoirs Vulnerability Experiment</p>,"
	            
   				
					 
						2012
					
					
				
	        "
http://science.nasa.gov/missions/barrel/,,<p><strong>Phase:</strong> Past	</p>,",
                    
                
                    
                        "
http://science.nasa.gov/missions/bbxrt/, Past	,<p>Broad Band X-ray Telescope </p>,"
	            
   				
					 
	            		December 02, 1990
					
					
				
	        "
http://science.nasa.gov/missions/cassini/, Operating	,<p>Cassini Orbiter</p>,"
	            
   				
					 
	            		October 15, 1997
					
					
				
	        "
http://science.nasa.gov/missions/yohkoh/,"
	            
   				
					 
	            		August 30, 1991
					
					
				
	        ",<p><strong>Phase:</strong> Past	</p>,
http://science.nasa.gov/missions/calipso/, Operating	,<p>Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observations </p>,"
	            
   				
					 
	            		April 28, 2006
					
					
				
	        "
http://science.nasa.gov/missions/aura/,"
	            
   				
					 
	            		July 15, 2004
					
					
				
	        ",<p><strong>Phase:</strong> Operating	</p>,
http://science.nasa.gov/missions/xmm-newton/, Operating	,<p>X-ray Multi-Mirror Mission</p>,"
	            
   				
					 
	            		December 10, 1999
					
					
				
	        "
http://science.nasa.gov/missions/voyager/,"
	            
   				
					 
	            		September 05, 1977
					
					
				
	        ",<p><strong>Phase:</strong> Operating	</p>,
http://science.nasa.gov/missions/wmap/, Past	,<p>Wilkinson Microwave Anisotropy Probe</p>,"
	            
   				
					 
	            		June 30, 2001
					
					
				
	        "
http://science.nasa.gov/missions/wire/, Past	,<p>Wide-Field Infrared Explorer </p>,"
	            
   				
					 
	            		March 04, 1999
					
					
				
	        "
http://science.nasa.gov/missions/wise/, Past	,<p>Widefield Infrared Survey Explorer </p>,"
	            
   				
					 
	            		December 14, 2009
					
					
				
	        "
http://science.nasa.gov/missions/wind/,"
	            
   				
					 
	            		November 01, 1994
					
					
				
	        ",<p><strong>Phase:</strong> Operating	</p>,
http://science.nasa.gov/missions/viking/, Past	,<p>Viking</p>,"
	            
   				
					 
	            		August 20, 1975
					
					
				
	        "
http://science.nasa.gov/missions/van-allen-probes/, Operating	,"<p>Radiation Belt Storm Probes (renamed “Van Allen Probes” in November, 2012)</p>","
	            
   				
					
						August 2012
					
				
	        "
http://science.nasa.gov/missions/ulysses/,"
	            
   				
					 
	            		October 06, 1990
					
					
				
	        ",<p><strong>Phase:</strong> Past	</p>,
http://science.nasa.gov/missions/uars/, Past	,<p>Upper Atmosphere Research Satellite</p>,"
	            
   				
					 
	            		September 12, 1991
					
					
				
	        "
http://science.nasa.gov/missions/tss/, Past	,<p>Tethered Satellite System </p>,"
	            
   				
					 
	            		June 26, 1992
					
					
				
	        "
http://science.nasa.gov/missions/twins/, Operating	,<p>Two Wide-Angle Imaging Neutral-Atom Spectrometers </p>,"
	            
   				
					 
	            		March 13, 2008
					
					
				
	        "
http://science.nasa.gov/missions/tsis-1/,"
	            
   				
					 
						2018
					
					
				
	        ",<p><strong>Phase:</strong> Under Study	</p>,
http://science.nasa.gov/missions/trmm/, Past	,<p>Tropical Rainfall Measuring Mission </p>,"
	            
   				
					 
	            		November 27, 1997
					
					
				
	        "
http://science.nasa.gov/about-us/,,,
http://science.nasa.gov/missions/trace/, Past	,<p>Transition Region and Coronal Explorer </p>,"
	            
   				
					 
	            		April 01, 1998
					
					
				
	        "
http://science.nasa.gov/missions/topex-poseidon/,"
	            
   				
					 
	            		August 10, 1992
					
					
				
	        ",<p><strong>Phase:</strong> Past	</p>,
http://science.nasa.gov/missions/toms/, Past	,<p>Total Ozone Mapping Spectrometer </p>,"
	            
   				
					 
	            		July 02, 1996
					
					
				
	        "
http://science.nasa.gov/missions/tpf/,,<p><strong>Phase:</strong> Studied	</p>,
http://science.nasa.gov/missions/tiros/, Past	,<p>Television Infrared Observation Satellite Program </p>,"
	            
   				
					 
	            		April 01, 1960
					
					
				
	        "
http://science.nasa.gov/missions/timed/, Operating	,"<p>Thermosphere, Ionosphere, Mesosphere Energetics and Dynamics </p>","
	            
   				
					 
	            		December 07, 2001
					
					
				
	        "
http://science.nasa.gov/missions/themis/, Operating	,<p>Time History of Events and Macroscale Interactions during Substorms</p>,"
	            
   				
					 
	            		February 17, 2007
					
					
				
	        "
http://science.nasa.gov/missions/tess/, Development	,<p>Transiting Exoplanet Survey Satellite</p>,"
	            
   				
					
						June 2018
					
				
	        "
http://science.nasa.gov/missions/terriers/, Past	,<p>Tomographic Experiment using Radiative Recombinative Ionospheric EUV and Radio Sources </p>,"
	            
   				
					 
	            		May 18, 1999
					
					
				
	        "
http://science.nasa.gov/missions/terra/, Operating	,<p>TERRA</p>,"
	            
   				
					 
	            		December 18, 1999
					
					
				
	        "
